Date last modified: 31-OCT-2023 (J. DAWLEY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDED LINE,,,Size and Type Removed/Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrections/Changes Highlighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type Of Thread,Type Of Thread,Type Of Thread,Type Of Thread,,,,,,,,,,,,,,,,,,,,,,,,,
EDB Section,Section Name,Group,Group Name,Sub-Division,Sub-Division Name,Nominal Size,"Outside Diameter, inches",Outside Diameter (Min),Outside Diameter (Max),Average Outside Diameter Tolerance in.,Identification,Pipe Schedule,"Wall Thickness, inches",Pressure Class,Preferred Size,"Wall Thickness, in. Min","Wall Thickness, in. Maxc","Min Reinforced Wall Thickness, in.",Wall Thickness Tolerance +/-,"Wall Thickness Tolerance, in, all plus","Wall Thickness Tolerance, Average Outside Diameter, all minus","Internal Diameter, inches",Internal Area Square Inches,"Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet","t/D, Ratio of Nominal Wall Thickness to Nominal Outside Diameter","Diameter Roundness Tolerances, percent of outside diameter (Expressed to the nearest 0.001 in. Nearest 0.01 mm.","Diameter Roundness Tolerances, (Expressed to the nearest 0.001 in. Nearest 0.01 mm.)",Out of Roundness Max. & Min. In. (+/-),"Nominal Weight, Threads and Coupling, lb. per ft.","Plain-End Weight
lb/ft Nom","Plain-End Weight
lb/ft Max",Plain-End Weight lb/100 ft,Types of Ends,"Upset Ends, Foe Weld-on Tool Joints",Grade,Short,Long,Buttress,Extreme Line,Form,Type,"Maximum Allowable Residue, grams per linear foot",ALLOY,"Nominal Composition, Copper, percent","Nominal Composition, Nickel, percent",Reference Page number(s),Reference Table/figure number,STANDARD 1,STANDARD 2,STANDARD 3,ANSI,ANSI-Sub,ASTM,ASTM-Sub,API,OTHER,TITLE,Footnote 1,Footnote 2,Footnote 3,Note a,Note b,Note c,Note d
,,,include,include,include,include,include,,,include,include,include,include,include,,,,,,,,include,,include,include,include,include,,,,,,,,,,,,,,,,,,,,,,,,include,,,,,,,,,,,,,,,,
IV,Characteristics of Piping Materials,C,Non-Ferrous Pipe and Tubing,1,Aluminum alloy pipe - extruded ,0.125,0.405,0.374,0.42,,,40,0.068,,,0.06,--,,,,,0.269,0.0568,0.0224,0.0003947,0.000223,0.000005,,,,,,0.085,0.091,,,,,,,,,,,,,,,Page 45-46,TABLE 12.55,ANSI H35.2-2017,ANSI H35.2M-2017,,ANSI H35.2,,,,,,,,,,"Schedule 40 is also designated ""standard"" pipe and schedule 80 is also designated as ""extra heavy"" pipe.",For schedules 5 and 10 these values apply to mean outside diameter.,"For schedules other than 5 and 10, maximum wall thickness is controlled by weight tolerance.","Based on a density of 0.098 lb per cu in. the density of 6061 and 6063 alloys, and on nominal dimensions and plain ends. For 3003 alloy multiply b 1.01 for 5083, 5086, and 5456 alloys multiply by 0.098; for 5454 alloy multiply by 0.099."
IV,Characteristics of Piping Materials,C,Non-Ferrous Pipe and Tubing,1,Aluminum alloy pipe - extruded ,0.125,0.405,0.374,0.42,,,80,0.095,,,0.083,--,,,,,0.215,0.0363,0.0179,0.0002521,0.000279,0.000005,,,,,,0.109,0.118,,,,,,,,,,,,,,,Page 45-46,TABLE 12.55,ANSI H35.2-2017,ANSI H35.2M-2017,,ANSI H35.2,,,,,,,,,,"Schedule 40 is also designated ""standard"" pipe and schedule 80 is also designated as ""extra heavy"" pipe.",For schedules 5 and 10 these values apply to mean outside diameter.,"For schedules other than 5 and 10, maximum wall thickness is controlled by weight tolerance.","Based on a density of 0.098 lb per cu in. the density of 6061 and 6063 alloys, and on nominal dimensions and plain ends. For 3003 alloy multiply b 1.01 for 5083, 5086, and 5456 alloys multiply by 0.098; for 5454 alloy multiply by 0.099."
IV,Characteristics of Piping Materials,C,Non-Ferrous Pipe and Tubing,1,Aluminum alloy pipe - extruded ,0.25,0.54,0.509,0.555,,,40,0.088,,,0.077,--,,,,,0.364,0.1041,0.0303,0.0007227,0.000165,0.000005,,,,,,0.147,0.159,,,,,,,,,,,,,,,Page 45-46,TABLE 12.55,ANSI H35.2-2017,ANSI H35.2M-2017,,ANSI H35.2,,,,,,,,,,"Schedule 40 is also designated ""standard"" pipe and schedule 80 is also designated as ""extra heavy"" pipe.",For schedules 5 and 10 these values apply to mean outside diameter.,"For schedules other than 5 and 10, maximum wall thickness is controlled by weight tolerance.","Based on a density of 0.098 lb per cu in. the density of 6061 and 6063 alloys, and on nominal dimensions and plain ends. For 3003 alloy multiply b 1.01 for 5083, 5086, and 5456 alloys multiply by 0.098; for 5454 alloy multiply by 0.099."
IV,Characteristics of Piping Materials,C,Non-Ferrous Pipe and Tubing,1,Aluminum alloy pipe - extruded ,0.25,0.54,0.509,0.555,,,80,0.119,,,0.104,--,,,,,0.302,0.0716,0.0252,0.0004974,0.000199,0.000005,,,,,,0.185,0.2,,,,,,,,,,,,,,,Page 45-46,TABLE 12.55,ANSI H35.2-2017,ANSI H35.2M-2017,,ANSI H35.2,,,,,,,,,,"Schedule 40 is also designated ""standard"" pipe and schedule 80 is also designated as ""extra heavy"" pipe.",For schedules 5 and 10 these values apply to mean outside diameter.,"For schedules other than 5 and 10, maximum wall thickness is controlled by weight tolerance.","Based on a density of 0.098 lb per cu in. the density of 6061 and 6063 alloys, and on nominal dimensions and plain ends. For 3003 alloy multiply b 1.01 for 5083, 5086, and 5456 alloys multiply by 0.098; for 5454 alloy multiply by 0.099."
IV,Characteristics of Piping Materials,C,Non-Ferrous Pipe and Tubing,1,Aluminum alloy pipe - extruded ,0.375,0.675,0.644,0.69,,,40,0.091,,,0.08,--,,,,,0.493,0.1909,0.0411,0.0013256,0.000122,0.000005,,,,,,0.196,0.212,,,,,,,,,,,,,,,Page 45-46,TABLE 12.55,ANSI H35.2-2017,ANSI H35.2M-2017,,ANSI H35.2,,,,,,,,,,"Schedule 40 is also designated ""standard"" pipe and schedule 80 is also designated as ""extra heavy"" pipe.",For schedules 5 and 10 these values apply to mean outside diameter.,"For schedules other than 5 and 10, maximum wall thickness is controlled by weight tolerance.","Based on a density of 0.098 lb per cu in. the density of 6061 and 6063 alloys, and on nominal dimensions and plain ends. For 3003 alloy multiply b 1.01 for 5083, 5086, and 5456 alloys multiply by 0.098; for 5454 alloy multiply by 0.099."
IV,Characteristics of Piping Materials,C,Non-Ferrous Pipe and Tubing,1,Aluminum alloy pipe - extruded ,0.375,0.675,0.644,0.69,,,80,0.126,,,0.11,--,,,,,0.423,0.1405,0.0353,0.0009759,0.000142,0.000005,,,,,,0.256,0.276,,,,,,,,,,,,,,,Page 45-46,TABLE 12.55,ANSI H35.2-2017,ANSI H35.2M-2017,,ANSI H35.2,,,,,,,,,,"Schedule 40 is also designated ""standard"" pipe and schedule 80 is also designated as ""extra heavy"" pipe.",For schedules 5 and 10 these values apply to mean outside diameter.,"For schedules other than 5 and 10, maximum wall thickness is controlled by weight tolerance.","Based on a density of 0.098 lb per cu in. the density of 6061 and 6063 alloys, and on nominal dimensions and plain ends. For 3003 alloy multiply b 1.01 for 5083, 5086, and 5456 alloys multiply by 0.098; for 5454 alloy multiply by 0.099."
IV,Characteristics of Piping Materials,C,Non-Ferrous Pipe and Tubing,1,Aluminum alloy pipe - extruded ,0.5,0.84,0.809,0.855,,,5,0.065,,,0.053,0.077,,,,,0.71,0.3959,0.0592,0.0027494,0.000085,0.000005,,,,,,0.186,--,,,,,,,,,,,,,,,Page 45-46,TABLE 12.55,ANSI H35.2-2017,ANSI H35.2M-2017,,ANSI H35.2,,,,,,,,,,"Schedule 40 is also designated ""standard"" pipe and schedule 80 is also designated as ""extra heavy"" pipe.",For schedules 5 and 10 these values apply to mean outside diameter.,"For schedules other than 5 and 10, maximum wall thickness is controlled by weight tolerance.","Based on a density of 0.098 lb per cu in. the density of 6061 and 6063 alloys, and on nominal dimensions and plain ends. For 3003 alloy multiply b 1.01 for 5083, 5086, and 5456 alloys multiply by 0.098; for 5454 alloy multiply by 0.099."
IV,Characteristics of Piping Materials,C,Non-Ferrous Pipe and Tubing,1,Aluminum alloy pipe - extruded ,0.5,0.84,0.809,0.855,,,10,0.083,,,0.071,0.095,,,,,0.674,0.3568,0.0562,0.0024777,0.000089,0.000005,,,,,,0.232,--,,,,,,,,,,,,,,,Page 45-46,TABLE 12.55,ANSI H35.2-2017,ANSI H35.2M-2017,,ANSI H35.2,,,,,,,,,,"Schedule 40 is also designated ""standard"" pipe and schedule 80 is also designated as ""extra heavy"" pipe.",For schedules 5 and 10 these values apply to mean outside diameter.,"For schedules other than 5 and 10, maximum wall thickness is controlled by weight tolerance.","Based on a density of 0.098 lb per cu in. the density of 6061 and 6063 alloys, and on nominal dimensions and plain ends. For 3003 alloy multiply b 1.01 for 5083, 5086, and 5456 alloys multiply by 0.098; for 5454 alloy multiply by 0.099."
IV,Characteristics of Piping Materials,C,Non-Ferrous Pipe and Tubing,1,Aluminum alloy pipe - extruded ,0.5,0.84,0.809,0.855,,,40,0.109,,,0.095,--,,,,,0.622,0.3039,0.0518,0.0021101,0.000096,0.000005,,,,,,0.294,0.318,,,,,,,,,,,,,,,Page 45-46,TABLE 12.55,ANSI H35.2-2017,ANSI H35.2M-2017,,ANSI H35.2,,,,,,,,,,"Schedule 40 is also designated ""standard"" pipe and schedule 80 is also designated as ""extra heavy"" pipe.",For schedules 5 and 10 these values apply to mean outside diameter.,"For schedules other than 5 and 10, maximum wall thickness is controlled by weight tolerance.","Based on a density of 0.098 lb per cu in. the density of 6061 and 6063 alloys, and on nominal dimensions and plain ends. For 3003 alloy multiply b 1.01 for 5083, 5086, and 5456 alloys multiply by 0.098; for 5454 alloy multiply by 0.099."
