,numeric,numeric,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size (in),Nominal Outside Diamter (in),API Standard,"Standard, X-Strong, or XX-Strong",Pipe Schedule,"Nominal Wall Thickness
(in)",Nominal Internal Diameter (in),Internal Area (in²),Internal Diameter (ft),Internal Area (ft²),"e/D
(e=0.00015 ft)"
data,0.125,0.405,,,10S,0.049,0.307,0.074,0.0256,0.0005,0.00015
data,0.125,0.405,5L,STD,40,0.068,0.269,0.0568,0.0224,0.0004,0.00015
data,0.125,0.405,5L,XS,80,0.095,0.215,0.0363,0.0179,0.0003,0.00015
data,0.25,0.54,,,10S,0.065,0.41,0.132,0.0342,0.0009,0.00015
data,0.25,0.54,5L,STD,40,0.088,0.364,0.1041,0.0303,0.0007,0.00015
data,0.25,0.54,5L,XS,80,0.119,0.302,0.0716,0.0252,0.0005,0.00015
data,0.375,0.675,,,10S,0.065,0.545,0.2333,0.0454,0.0016,0.00015
data,0.375,0.675,5L,STD,40,0.091,0.493,0.1909,0.0411,0.0013,0.00015
data,0.375,0.675,5L,XS,80,0.126,0.423,0.1405,0.0353,0.001,0.00015
data,0.5,0.64,,,5S,0.065,0.51,0.2043,0.0425,0.0014,0.00015
data,0.5,0.64,,,10S,0.083,0.474,0.1765,0.0395,0.0012,0.00015
data,0.5,0.64,5L,STD,40,0.109,0.422,0.1399,0.0352,0.001,0.00015
data,0.5,0.64,5L,XS,80,0.147,0.346,0.094,0.0288,0.0007,0.00015
data,0.5,0.64,,,160,0.188,0.264,0.0547,0.022,0.0004,0.00015
data,0.5,0.64,5L,XXS,,0.294,0.052,0.0021,0.0043,0,0.00015
data,0.75,1.05,,,5S,0.065,0.92,0.6648,0.0767,0.0046,0.00015
data,0.75,1.05,,,10S,0.083,0.884,0.6138,0.0737,0.0043,0.00015
data,0.75,1.05,5L,STD,40,0.113,0.824,0.5333,0.0687,0.0037,0.00015
data,0.75,1.05,5L,XS,80,0.154,0.742,0.4324,0.0618,0.003,0.00015
data,0.75,1.05,,,160,0.219,0.612,0.2942,0.051,0.002,0.00015
data,0.75,1.05,5L,XXS,,0.308,0.434,0.1479,0.0362,0.001,0.00015
data,1,1.315,,,5S,0.065,1.185,1.1029,0.0988,0.0077,0.00015
data,1,1.315,,,10S,0.109,1.097,0.9452,0.0914,0.0066,0.00015
data,1,1.315,5L,STD,40,0.133,1.049,0.8643,0.0874,0.006,0.00015
data,1,1.315,5L,XS,80,0.179,0.957,0.7193,0.0798,0.005,0.00015
data,1,1.315,,,160,0.25,0.815,0.5217,0.0679,0.0036,0.00015
data,1,1.315,5L,XXS,,0.358,0.599,0.2818,0.0499,0.002,0.00015
data,1.25,1.66,,,5S,0.065,1.53,1.8385,0.1275,0.0128,0.00015
data,1.25,1.66,,,10S,0.109,1.442,1.6331,0.1202,0.0113,0.00015
data,1.25,1.66,5L,STD,40,0.14,1.38,1.4957,0.115,0.0104,0.00015
data,1.25,1.66,5L,XS,80,0.191,1.278,1.2828,0.1065,0.0089,0.00015
data,1.25,1.66,,,160,0.25,1.16,1.0568,0.0967,0.0073,0.00015
data,1.25,1.66,5L,XXS,,0.382,0.896,0.6305,0.0747,0.0044,0.00015
data,1.5,1.9,,,5S,0.065,1.77,2.4606,0.1475,0.0171,0.00015
data,1.5,1.9,,,10S,0.109,1.682,2.222,0.1402,0.0154,0.00015
data,1.5,1.9,5L,STD,40,0.145,1.61,2.0358,0.1342,0.0141,0.00015
data,1.5,1.9,5L,XS,80,0.2,1.5,1.7671,0.125,0.0123,0.00015
data,1.5,1.9,,,160,0.281,1.338,1.4061,0.1115,0.0098,0.00015
data,1.5,1.9,5L,XXS,,0.4,1.1,0.9503,0.0917,0.0066,0.00015
data,2,2.375,5L,,5S,0.065,2.245,3.9584,0.1871,0.0275,0.00015
data,2,2.375,,,10S,0.109,2.157,3.6542,0.1798,0.0254,0.00015
data,2,2.375,5L,STD,40,0.154,2.067,3.3556,0.1723,0.0233,0.00015
data,2,2.375,5L,XS,80,0.218,1.939,2.9529,0.1616,0.0205,0.00015
data,2,2.375,,,160,0.344,1.687,2.2352,0.1406,0.0155,0.00015
data,2,2.375,5L,XXS,,0.436,1.503,1.7742,0.1253,0.0123,0.00015
data,2.5,2.875,5L,,5S,0.083,2.709,5.7638,0.2258,0.04,0.00015
data,2.5,2.875,,,10S,0.12,2.635,5.4532,0.2196,0.0379,0.00015
data,2.5,2.875,5L,STD,40,0.203,2.469,4.7878,0.2058,0.0332,0.00015
data,2.5,2.875,5L,XS,80,0.276,2.323,4.2383,0.1936,0.0294,0.00015
data,2.5,2.875,,,160,0.375,2.125,3.5466,0.1771,0.0246,0.00015
data,2.5,2.875,5L,XXS,,0.552,1.771,2.4634,0.1476,0.0171,0.00015
